Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-62-A46Y-01A-11D-A24D-08	14	13	0	0	5
TCGA-62-A472-01A-11D-A24D-08	30	10	7	0	10
TCGA-64-1676-01A-01D-0969-08	577	19	0	0	32
TCGA-64-1676-01A-01W-0928-08	536	10	3	25	31
TCGA-64-1677-01A-01W-0928-08	75	13	4	20	102
TCGA-64-1678-01A-01W-0928-08	370	1	2	18	46
TCGA-64-1679-01A-21D-2063-08	478	0	0	0	49
TCGA-64-1680-01A-02D-0969-08	0	19	7	0	26
TCGA-64-1680-01A-02W-0928-08	9	11	8	0	18
TCGA-64-1681-01A-11D-2063-08	22	10	0	0	33
TCGA-64-5774-01A-01D-1625-08	110	7	0	19	8
TCGA-64-5778-01A-01D-1625-08	401	10	12	17	46
TCGA-64-5781-01A-01D-1625-08	909	27	19	9	188
TCGA-64-5815-01A-01D-1625-08	158	23	0	0	0
TCGA-67-3770-01A-01D-0969-08	182	0	0	35	16
TCGA-67-3770-01A-01W-0928-08	176	10	0	25	15
TCGA-67-3771-01A-01D-1040-01	575	15	18	107	425
TCGA-67-3771-01A-01W-0928-08	602	22	27	88	442
TCGA-67-3774-01A-01D-1040-01	83	7	5	8	15
TCGA-67-3774-01A-01W-0928-08	75	4	7	8	9
TCGA-67-4679-01B-01D-1753-08	254	17	0	0	21
TCGA-67-6215-01A-11D-1753-08	0	0	0	72	37
TCGA-67-6216-01A-11D-1753-08	6	4	0	0	16
TCGA-67-6217-01A-11D-1753-08	154	4	12	12	10
TCGA-69-7760-01A-11D-2167-08	20	12	8	19	12
TCGA-69-7764-01A-11D-2167-08	37	11	0	27	16
TCGA-69-7765-01A-11D-2167-08	526	0	0	39	75
TCGA-69-7973-01A-11D-2184-08	222	15	2	13	13
TCGA-69-7974-01A-11D-2184-08	448	33	0	0	47
TCGA-69-7978-01A-11D-2184-08	368	18	23	12	195
TCGA-69-8253-01A-11D-2284-08	121	14	0	0	32
TCGA-69-8254-01A-11D-2284-08	42	21	0	0	12
TCGA-69-8255-01A-11D-2284-08	176	15	14	31	64
TCGA-69-A59K-01A-11D-A25L-08	399	19	6	30	54
TCGA-71-6725-01A-11D-1855-08	8	25	0	12	12
TCGA-71-8520-01A-11D-2393-08	13	15	17	27	20
TCGA-73-4658-01A-01D-1753-08	155	0	19	0	158
TCGA-73-4659-01A-01D-1265-08	189	16	0	0	17
TCGA-73-4662-01A-01D-1265-08	177	10	0	0	26
TCGA-73-4670-01A-01D-1265-08	275	11	6	37	37
TCGA-73-4675-01A-01D-1265-08	26	10	0	23	10
TCGA-73-4676-01A-01D-1753-08	66	19	0	0	13
TCGA-73-7498-01A-12D-2184-08	92	17	0	0	8
TCGA-73-7499-01A-11D-2184-08	17	10	2	15	21
TCGA-75-5122-01A-01D-1753-08	67	13	1	20	33
TCGA-75-5125-01A-01D-1753-08	69	6	22	17	50
TCGA-75-5126-01A-01D-1753-08	389	8	16	28	181
TCGA-75-5146-01A-01D-1625-08	175	0	0	0	18
TCGA-75-5147-01A-01D-1625-08	0	13	0	0	23
TCGA-75-6203-01A-11D-1753-08	0	13	0	0	0
TCGA-75-6205-01A-11D-1753-08	14	2	9	8	10
TCGA-75-6206-01A-11D-1753-08	61	0	6	10	15
TCGA-75-6211-01A-11D-1753-08	317	6	20	22	27
TCGA-75-6214-01A-41D-1945-08	458	15	21	31	210
TCGA-75-7025-01A-12D-1945-08	0	11	3	6	10
TCGA-75-7027-01A-11D-1945-08	210	19	0	0	21
TCGA-75-7030-01A-11D-1945-08	5	3	0	0	0
TCGA-78-7145-01A-11D-2036-08	155	11	4	10	17
TCGA-78-7146-01A-11D-2036-08	227	29	3	11	112
TCGA-78-7147-01A-11D-2036-08	218	14	7	42	82
TCGA-78-7148-01A-11D-2036-08	165	1	2	31	21
TCGA-78-7149-01A-11D-2036-08	38	7	2	13	88
TCGA-78-7150-01A-21D-2036-08	189	30	11	12	193
